
=== 事業会社データ ===
ID,コード,会社名,略称,カテゴリ,組織ID,組織名,主管カンパニー,主管部門,主管部,地域,表示順序,作成日時,更新日時
a10dc741-a86d-40d4-8efc-43ad4c962478,B02465,エヌシーアイ総合システム（株）,,関連B,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,国内,0,1765140678,1765140678
e2d2b226-76a8-41e7-a2c9-50b45a8666de,B05477,伊藤忠テクノソリューションズ（株）,,子会社A,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,国内,0,1765140678,1765140678
345d0360-0090-4c35-a5b9-5998072f77fe,B10747,伊藤忠ケーブルシステム（株）,,子会社B,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,国内,0,1765140678,1765140678
a3aac92a-fea2-4399-a582-1c183c1c815e,B11297,日本テレマティーク（株）,,関連B,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,国内,0,1765140678,1765140678
a1137f9c-9df2-4ddd-8975-5d0405224737,B16192,ＣＴＣテクノロジー（株）,,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,国内,0,1765140678,1765140678
2031cff1-172e-4a43-938b-3fedbd7d1096,B16193,ＣＴＣエスピー（株）,,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,国内,0,1765140678,1765140678
6cd78124-cd69-496a-8b99-94f32af31435,B34546,"ITOCHU TECHNO-SOLUTIONS AMERICA, INC.",CTCA,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,海外,0,1765140678,1765140678
e7cf0b3e-c809-44a2-93bc-c427a3afd636,B34889,"NHK COSMOMEDIA AMERICA, INC.",NCMA,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,海外,0,1765140678,1765140678
d6798fad-b0b0-4e87-884a-be083db52449,B47438,"ADVANCED MEDIA TECHNOLOGIES, INC.",AMT,子会社・海外,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,海外,0,1765140678,1765140678
0670eb4e-ad34-4b5c-8a32-e611d2784937,B76022,ＣＴＣビジネスサービス（株）,,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,国内,0,1765140678,1765140678
96578ab8-3df9-4a45-ab27-bf9f29765892,B82264,ＣＴＣファシリティーズ（株）,,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,国内,0,1765140678,1765140678
ce1e3843-9086-4b43-8d98-f42c1a1884bf,B89554,アサヒビジネスソリューションズ（株）,,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,国内,0,1765140678,1765140678
3bf06beb-c6b6-47cd-b0ab-c92f0957c926,C11569,ＣＴＣシステムマネジメント（株）,,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,国内,0,1765140678,1765140678
d782d2f6-9fcd-45ea-ad47-ce6ab8a858e1,C21386,CTC GLOBAL (THAILAND) LTD.,CTCTH,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,海外,0,1765140678,1765140678
1b6a797d-75f6-4a7d-84cf-42b8da079696,C22154,"AVIDEX INDUSTRIES, L.L.C.",AVIDEX,子会社・海外,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,海外,0,1765140678,1765140678
abef0d3e-1253-4163-8d47-f2fae01dcd1c,C22512,CTC GLOBAL PTE. LTD.,CTCSG,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,海外,0,1765140678,1765140678
6d8cd6e7-75ee-45d4-b2ef-d7ed0ad73952,C22513,CTC GLOBAL SDN. BHD.,CTCMY,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,海外,0,1765140678,1765140678
7e0e3576-d9a0-412f-9dcb-338a5df5b341,C32726,ＣＴＣビジネスエキスパート（株）,,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,国内,0,1765140678,1765140678
43b8234c-0877-4835-9dda-04f221c17585,C34168,ウイングアーク１ｓｔ（株）,,孫（上場）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,国内,0,1765140678,1765140678
ae1b6504-d8a6-41c4-9a26-387978025ae7,C35958,PT. NUSANTARA COMPNET INTEGRATOR,NUSANTARA COMPNET INTEGRATOR,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,海外,0,1765140678,1765140678
d20db3b5-c1e7-498b-bdc8-0037a68a86bf,C35959,PT. PRO SISTIMATIKA AUTOMASI,PRO SISTIMATIKA AUTOMASI,孫（事業）,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,海外,0,1765140678,1765140678
cb86fc9c-6cd0-419f-b0a4-304ef8fc72c7,C36108,ＩＷ．ＤＸパートナーズ（株）,,子会社B,290cced8-6938-4c88-9419-bc55d300d8cd,情報産業ビジネス部,C0S：情金,8N： 情報・通信部門,B2：*情報産業ビジネス部,国内,0,1765140678,1765140678
