会社No.,カンパニー名,部門No.,部門名,部No.,部名称（漢字－短）,部インディケータ,課No.,課名称（漢字－短）,英文名称,課インディケータ,課インディケータ略称,営業課区分,課電話番号,課FAX番号,担当経理チームNo.,担当経理チーム名（漢字名）,担当経理電話番号,担当経理FAX番号,海外／国内区分,総平均法区分（国内）,総平均法区分（輸入）,総平均法区分（輸出）,総平均法区分（三国）,店No.,海外事務所専用No.,「請求書」Billing不要,「仕入票」Billing不要,口座合計表示,連結営業課区分,共通ログ課No.,帳票配布先1,帳票配布先2,廃止フラグ,有効開始日,有効終了日,店名称
C0S,情報・金融カンパニー,8N,情報・通信部門,B2,情報産業ビジネス部,IT,S327,ＩＴビジネス課,IT BUSINESS SECTION,TOKIV,IV,,03-3497-3178,03-3497-4181,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,V,*,,,327,002JA,002JE,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B2,情報産業ビジネス部,IT,S326,デジタルバリューチェーン課,DIGITAL VALUE CHAIN SECTION,TOKIX,IX,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,V,*,,,326,002JA,002JE,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B2,情報産業ビジネス部,IT,S321,デジタルバリューチェーン課（Ｉ,DIGITAL VALUE CHAIN SECTION(IT trade account),TOKIX,IX,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,V,*,,,321,002JA,002JE,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B2,情報産業ビジネス部,IT,S322,ＤＸコンサルティング課,DX CONSULTING SECTION,TOKID,ID,,03-3497-2419,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,V,*,,,322,002JA,002JE,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B2,情報産業ビジネス部,IT,S320,情報産業ビジネス部共通口,INFORMATION TECHNOLOGY BUSINESS DEP. COMMON,TOKIT,IT,,03-3497-3219,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,*,*,,,320,002JA,002JE,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B3,通信ビジネス部,IC,S334,ＢＰＯビジネス課,BPO BUSINESS SECTION,TOKIO,IO,,03-3497-1332,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,G,*,,,334,002JA,002JB,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B3,通信ビジネス部,IC,S335,デジタルマーケビジネス課,DIGITAL MARKETING BUSINESS SECTION,TOKIQ,IQ,,03-3497-7650,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,G,*,,,335,002JA,002JB,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B3,通信ビジネス部,IC,S333,モバイルビジネス課,TELECOM BUSINESS SECTION,TOKIZ,IZ,,03-3497-1331,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,G,*,,,333,002JA,002JB,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B3,通信ビジネス部,IC,S330,通信ビジネス部共通口,COMMUNICATIONS BUSINESS DEP. COMMON,TOKIC,IC,,03-3497-3213,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,*,*,,,330,002JA,002JB,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B5,フロンティアビジネス部,IF,S351,インキュベーション推進課,INCUBATION BUSINESS SECTION,TOKII,II,,,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,V,*,,,351,002JA,002JE,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B5,フロンティアビジネス部,IF,S324,医療・ヘルスケアビジネス課,MEDICAL & HEALTHCARE BUSINESS SECTION,TOKIH,IH,,03-3497-2229,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,V,*,,,324,002JA,002JE,,2025/10/01,2026/03/31,東京本社
C0S,情報・金融カンパニー,8N,情報・通信部門,B5,フロンティアビジネス部,IF,S331,衛星・ＩＰコンテンツビジネス課,SATELLITE & IP CONTENT BUSINESS SECTION,TOKIP,IP,,03-3497-1341,,S007,ＩＦＭ営業経理第六室,03-3497-6419,03-3497-2299,0,,,,,2,,*,*,,,331,002JA,002JE,,2025/10/01,2026/03/31,東京本社
